"borough","county","osm_id"
"Baranów","grodziski",336413
"Błonie","warszawski zachodni",336306
"Brwinów","pruszkowski",2997021
"Cegłów","miński",2994048
"Celestynów","otwocki",2996923
"Czosnów","nowodworski",336326
"Dąbrówka","wołomiński",1994182
"Dębe Wielkie","miński",336708
"Dobre","miński",2994052
"Mińsk Mazowiecki 2","miński",2704576
"Góra Kalwaria","piaseczyński",2416274
"Grodzisk Mazowiecki","grodziski",336415
"Halinów","miński",336688
"Izabelin","warszawski zachodni",336311
"Jabłonna","legionowski",2603448
"Jadów","wołomiński",1994183
"Jaktorów","grodziski",336414
"Jakubów","miński",2703943
"Kałuszyn","miński",2703944
"Kampinos","warszawski zachodni",336308
"Karczew","otwocki",2694690
"Klembów","wołomiński",1994184
"Kołbiel","otwocki",2996924
"Konstancin-Jeziorna","piaseczyński",336138
"Latowicz","miński",2696265
"Leoncin","nowodworski",336327
"Leszno","warszawski zachodni",336309
"Lesznowola","piaseczyński",2415879
"Łomianki","warszawski zachodni",336313
"Michałowice","pruszkowski",2996986
"Mrozy","miński",2703971
"Nadarzyn","pruszkowski",2997041
"Nasielsk","nowodworski",2706782
"Nieporęt","legionowski",1753833
"Osieck","otwocki",2996940
"Ożarów Mazowiecki","warszawski zachodni",336304
"Piaseczno","piaseczyński",336137
"Pomiechówek","nowodworski",2706783
"Poświętne","wołomiński",1994185
"Prażmów","piaseczyński",2416275
"Radzymin","wołomiński",1994186
"Raszyn","pruszkowski",2996990
"Serock","legionowski",2603602
"Siennica","miński",2696153
"Sobienie-Jeziory","otwocki",2996944
"Stanisławów","miński",336707
"Stare Babice","warszawski zachodni",336310
"Strachówka","wołomiński",1994187
"Tarczyn","piaseczyński",2013299
"Tłuszcz","wołomiński",1994188
"Wiązowna","otwocki",2695156
"Wieliszew","legionowski",2603447
"Wołomin","wołomiński",1994189
"Żabia Wola","grodziski",336617
"Zakroczym","nowodworski",295858
"Kobyłka","wołomiński",3015005
"Legionowo","legionowski",3014990
"Marki","wołomiński",3015006
"Milanówek","grodziski",336619
"Mińsk Mazowiecki","miński",2805597
"Nowy Dwór Mazowiecki","nowodworski",2719113
"Otwock","otwocki",2924728
"Piastów","pruszkowski",2996965
"Podkowa Leśna","pruszkowski",2907541
"Pruszków","pruszkowski",2101329
"Sulejówek","miński",2910917
"Ząbki","wołomiński",2910919
"Zielonka","wołomiński",1994190
"Józefów","otwocki",2996903
